,max_msd,mean_msd,positive_ratio,negative_ratio,positive_combo,negative_combo
0,0.17677669529663687,0.01372490446191316,0.284375,0.309375,0,0
1,0.1296362432175337,0.010533881827216865,0.12048192771084337,0.15060240963855423,0,0
2,0.28513426222846444,0.05059802653894647,0.19402985074626866,0.34701492537313433,0,0
3,0.1856155300614687,0.01304203436715329,0.18298555377207062,0.20706260032102727,0,0
4,0.4764552835137927,0.022276490730902244,0.1835251362810418,0.30466384009691094,0,3
5,0.20034692133618842,0.02809580566965534,0.23333333333333334,0.1,0,0
6,0.2357022603955158,0.028824186250145618,0.4213615023474178,0.36619718309859156,6,4
7,0.06065245067892982,0.00782453953485446,0.1500815660685155,0.7177814029363785,0,26
8,0.23570226039551584,0.011100898144666811,0.12280701754385964,0.2776057791537668,0,0
9,0.1767766952966368,0.018436195470731637,0.2811296534017972,0.3632862644415918,0,1
10,0.1414213562373095,0.0075365298831587685,0.39800995024875624,0.42786069651741293,0,1
11,0.3633743181097536,0.018787109399759916,0.24732824427480915,0.15419847328244274,2,1
12,0.2714784963484067,0.011332551899201931,0.06312292358803986,0.08970099667774087,0,0
13,0.057306730892865775,0.004625612013977395,0.45591939546599497,0.24181360201511334,2,1
14,0.1767766952966369,0.008657301491650003,0.45293522267206476,0.21153846153846154,36,0
15,0.384297163688341,0.0239344883956222,0.1592356687898089,0.2197452229299363,0,0
16,0.12206009913339211,0.011035582005418649,0.11774461028192372,0.2777777777777778,0,6
17,0.10101525445522103,0.01261715873060083,0.247682119205298,0.42251655629139073,0,5
18,0.12218035538869597,0.009812777632675036,0.19176423092450545,0.7234557932983448,1,94
19,0.23570226039551584,0.018636201707874833,0.11377245508982035,0.1437125748502994,0,0
20,0.3535533905932738,0.01855927339437662,0.1792152704135737,0.18769883351007424,0,1
21,0.12668996496258972,0.009129753996634737,0.4419134396355353,0.3211845102505695,2,1
22,0.17677669529663687,0.01855771785627336,0.22505307855626328,0.2781316348195329,0,0
23,0.23570226039551584,0.007704163507255542,0.2082204155374887,0.23261065943992773,0,1
24,0.3535533905932738,0.011232169410403161,0.2385948905109489,0.17198905109489052,3,1
25,0.14142135623730953,0.011487653540898911,0.05581395348837209,0.13023255813953488,0,0
26,0.7071067811865475,0.02076661909066087,0.10101867572156197,0.11544991511035653,0,0
27,0.11785113019775782,0.01227784207865467,0.32773938795656465,0.315893385982231,1,0
28,0.0664621110608988,0.011051097707479437,0.15989159891598917,0.3685636856368564,0,1
29,0.1414213562373095,0.012430515057336486,0.13052486187845305,0.20511049723756905,0,0
30,0.2272843225242474,0.012363036819278896,0.11976047904191617,0.0718562874251497,0,0
31,0.1767766952966369,0.011061091746657372,0.3386454183266932,0.3598937583001328,1,4
32,0.17515206814927298,0.011034557999682813,0.2119140625,0.50390625,1,16
33,0.3165144639596928,0.019339963244319473,0.3107476635514019,0.27710280373831775,2,2
34,0.16695576778015705,0.009518396200358282,0.055944055944055944,0.04895104895104895,0,0
35,0.09820927516479824,0.007073805476733484,0.47888386123680243,0.4894419306184012,12,10
36,0.18351785484572133,0.01329056861817256,0.3281437125748503,0.2407185628742515,3,0
